inspection_date,year,month,month_name,day,day_name,quarter
11/08/2019,2019,11,November,8,Friday,4
11/02/2019,2019,11,November,2,Saturday,4
11/05/2016,2016,11,November,5,Saturday,4
09/20/2018,2018,9,September,20,Thursday,3
09/29/2017,2017,9,September,29,Friday,3
09/25/2019,2019,9,September,25,Wednesday,3
02/13/2017,2017,2,February,13,Monday,1
07/30/2019,2019,7,July,30,Tuesday,3
08/26/2019,2019,8,August,26,Monday,3
07/12/2016,2016,7,July,12,Tuesday,3
09/06/2016,2016,9,September,6,Tuesday,3
10/05/2019,2019,10,October,5,Saturday,4
08/31/2016,2016,8,August,31,Wednesday,3
09/21/2019,2019,9,September,21,Saturday,3
09/04/2019,2019,9,September,4,Wednesday,3
12/06/2019,2019,12,December,6,Friday,4
10/30/2018,2018,10,October,30,Tuesday,4
11/07/2018,2018,11,November,7,Wednesday,4
02/06/2017,2017,2,February,6,Monday,1
10/01/2018,2018,10,October,1,Monday,4
11/07/2016,2016,11,November,7,Monday,4
04/13/2019,2019,4,April,13,Saturday,2
04/06/2018,2018,4,April,6,Friday,2
06/05/2018,2018,6,June,5,Tuesday,2
03/03/2020,2020,3,March,3,Tuesday,1
01/26/2017,2017,1,January,26,Thursday,1
11/04/2019,2019,11,November,4,Monday,4
03/13/2020,2020,3,March,13,Friday,1
04/06/2017,2017,4,April,6,Thursday,2
07/18/2017,2017,7,July,18,Tuesday,3
01/09/2018,2018,1,January,9,Tuesday,1
04/10/2018,2018,4,April,10,Tuesday,2
08/20/2016,2016,8,August,20,Saturday,3
08/26/2017,2017,8,August,26,Saturday,3
11/19/2016,2016,11,November,19,Saturday,4
12/15/2019,2019,12,December,15,Sunday,4
05/10/2017,2017,5,May,10,Wednesday,2
02/10/2017,2017,2,February,10,Friday,1
02/04/2017,2017,2,February,4,Saturday,1
03/16/2019,2019,3,March,16,Saturday,1
02/26/2018,2018,2,February,26,Monday,1
07/20/2018,2018,7,July,20,Friday,3
04/12/2016,2016,4,April,12,Tuesday,2
04/05/2019,2019,4,April,5,Friday,2
09/07/2017,2017,9,September,7,Thursday,3
08/25/2017,2017,8,August,25,Friday,3
10/21/2017,2017,10,October,21,Saturday,4
03/07/2017,2017,3,March,7,Tuesday,1
04/12/2019,2019,4,April,12,Friday,2
10/29/2018,2018,10,October,29,Monday,4
11/23/2018,2018,11,November,23,Friday,4
12/14/2018,2018,12,December,14,Friday,4
01/07/2017,2017,1,January,7,Saturday,1
03/02/2017,2017,3,March,2,Thursday,1
02/01/2018,2018,2,February,1,Thursday,1
02/23/2018,2018,2,February,23,Friday,1
04/29/2019,2019,4,April,29,Monday,2
02/27/2018,2018,2,February,27,Tuesday,1
06/07/2018,2018,6,June,7,Thursday,2
08/03/2019,2019,8,August,3,Saturday,3
09/01/2018,2018,9,September,1,Saturday,3
06/17/2017,2017,6,June,17,Saturday,2
08/29/2019,2019,8,August,29,Thursday,3
01/07/2019,2019,1,January,7,Monday,1
11/02/2018,2018,11,November,2,Friday,4
06/26/2018,2018,6,June,26,Tuesday,2
03/03/2016,2016,3,March,3,Thursday,1
10/14/2015,2015,10,October,14,Wednesday,4
05/14/2017,2017,5,May,14,Sunday,2
05/10/2019,2019,5,May,10,Friday,2
12/20/2018,2018,12,December,20,Thursday,4
01/09/2019,2019,1,January,9,Wednesday,1
08/10/2017,2017,8,August,10,Thursday,3
04/05/2017,2017,4,April,5,Wednesday,2
01/21/2017,2017,1,January,21,Saturday,1
04/07/2016,2016,4,April,7,Thursday,2
03/25/2018,2018,3,March,25,Sunday,1
05/01/2019,2019,5,May,1,Wednesday,2
11/05/2018,2018,11,November,5,Monday,4
06/13/2017,2017,6,June,13,Tuesday,2
02/05/2019,2019,2,February,5,Tuesday,1
02/24/2020,2020,2,February,24,Monday,1
05/20/2017,2017,5,May,20,Saturday,2
08/07/2018,2018,8,August,7,Tuesday,3
06/28/2018,2018,6,June,28,Thursday,2
01/16/2018,2018,1,January,16,Tuesday,1
04/13/2018,2018,4,April,13,Friday,2
06/28/2019,2019,6,June,28,Friday,2
03/04/2020,2020,3,March,4,Wednesday,1
11/21/2019,2019,11,November,21,Thursday,4
05/23/2019,2019,5,May,23,Thursday,2
07/07/2016,2016,7,July,7,Thursday,3
11/27/2019,2019,11,November,27,Wednesday,4
06/04/2016,2016,6,June,4,Saturday,2
07/29/2019,2019,7,July,29,Monday,3
01/08/2018,2018,1,January,8,Monday,1
07/23/2018,2018,7,July,23,Monday,3
10/10/2018,2018,10,October,10,Wednesday,4
08/17/2018,2018,8,August,17,Friday,3
11/09/2017,2017,11,November,9,Thursday,4
03/31/2017,2017,3,March,31,Friday,1
12/21/2019,2019,12,December,21,Saturday,4
02/06/2016,2016,2,February,6,Saturday,1
06/28/2017,2017,6,June,28,Wednesday,2
06/14/2019,2019,6,June,14,Friday,2
05/16/2019,2019,5,May,16,Thursday,2
11/17/2017,2017,11,November,17,Friday,4
04/15/2016,2016,4,April,15,Friday,2
07/16/2016,2016,7,July,16,Saturday,3
02/24/2016,2016,2,February,24,Wednesday,1
02/19/2020,2020,2,February,19,Wednesday,1
11/01/2018,2018,11,November,1,Thursday,4
09/09/2017,2017,9,September,9,Saturday,3
07/02/2018,2018,7,July,2,Monday,3
02/26/2020,2020,2,February,26,Wednesday,1
05/28/2019,2019,5,May,28,Tuesday,2
06/06/2017,2017,6,June,6,Tuesday,2
10/25/2016,2016,10,October,25,Tuesday,4
01/20/2017,2017,1,January,20,Friday,1
09/19/2016,2016,9,September,19,Monday,3
12/07/2016,2016,12,December,7,Wednesday,4
03/16/2017,2017,3,March,16,Thursday,1
11/22/2016,2016,11,November,22,Tuesday,4
05/26/2016,2016,5,May,26,Thursday,2
12/21/2018,2018,12,December,21,Friday,4
08/08/2018,2018,8,August,8,Wednesday,3
06/05/2017,2017,6,June,5,Monday,2
03/21/2019,2019,3,March,21,Thursday,1
01/03/2018,2018,1,January,3,Wednesday,1
06/21/2019,2019,6,June,21,Friday,2
06/23/2016,2016,6,June,23,Thursday,2
02/06/2020,2020,2,February,6,Thursday,1
07/01/2017,2017,7,July,1,Saturday,3
07/22/2019,2019,7,July,22,Monday,3
10/16/2018,2018,10,October,16,Tuesday,4
05/09/2018,2018,5,May,9,Wednesday,2
07/05/2018,2018,7,July,5,Thursday,3
09/06/2019,2019,9,September,6,Friday,3
12/17/2019,2019,12,December,17,Tuesday,4
10/13/2018,2018,10,October,13,Saturday,4
04/14/2016,2016,4,April,14,Thursday,2
04/30/2018,2018,4,April,30,Monday,2
