id_geography,zipcode,id_borough,building,street,latitude,longitude
6257,11412,4,19009,LINDEN BLVD,40.692043862965,-73.760930930391
6594,11206,3,903,MYRTLE AVENUE,40.695651395805,-73.946847878172
6181,11421,4,7438,JAMAICA AVE,40.691326717266,-73.867032745444
5158,11216,3,1389,FULTON STREET,40.680170220439,-73.945468586833
1244,11214,3,1619,86 STREET,40.609762895048,-74.006781747562
7306,11237,3,354,MELROSE STREET,40.70368330811,-73.928025504583
13752,11372,4,76-18,ROOSEVELT AVENUE,40.747050017419,-73.889322281844
22352,10034,1,5099,BROADWAY,40.87114206339,-73.914168674823
14883,11101,4,3445,48TH ST,40.752629971693,-73.914885018662
19865,10025,1,1024,AMSTERDAM AVENUE,40.803329420525,-73.963611914951
14470,10001,1,151,WEST   34 STREET,40.750509164767,-73.989479170444
6059,11221,3,1346,BROADWAY,40.689846186718,-73.922703753159
20572,10459,2,1011,WESTCHESTER AVENUE,40.824060416604,-73.893103194472
14770,10016,1,5,EAST   40 STREET,40.752001281953,-73.981354432981
4404,11213,3,195,UTICA AVENUE,40.672067960345,-73.930806721015
17579,10019,1,117,WEST   57 STREET,40.764626562701,-73.977914191497
10423,10009,1,157,AVENUE C,40.725681090382,-73.977689029855
8411,11432,4,18118,HILLSIDE AVE,40.713205892595,-73.781448175966
8870,10013,1,78-80,BAYARD ST,40.71570053367,-73.998683331195
3640,11232,3,855,4 AVENUE,40.656866296267,-74.001740789064
13170,11368,4,10409,CORONA AVE,40.744018853318,-73.858493281499
18679,10075,1,1A,EAST   77 STREET,40.775577501812,-73.964443126559
2756,11219,3,4614,NEW UTRECHT AVENUE,40.638937269372,-73.994465567672
20259,10455,2,961,LEGGETT AVENUE,40.815291865115,-73.900212741351
17751,10019,1,800,9 AVENUE,40.76544868973,-73.98750212227
22690,10466,2,3907,DYRE AVENUE,40.889439965331,-73.831277296077
11187,10012,1,240,SULLIVAN STREET,40.729718065704,-73.999660841088
4289,11420,4,13515,LEFFERTS BOULEVARD,40.670260942913,-73.820950841132
13706,10016,1,11,EAST   32 STREET,40.746836141972,-73.984741130165
16073,10022,1,599,LEXINGTON AVENUE,40.758268177392,-73.971054408587
11801,10014,1,14,CHRISTOPHER STREET,40.733939513785,-74.000483512602
15878,10017,1,20,EAST   49 STREET,40.757509172347,-73.97673983586
19041,10128,1,1742,2 AVENUE,40.78082813766,-73.949574425471
0,null,1,2247,ADAM CLAYTON POWELL BOULEVARD,0,0
21421,10033,1,1320,SAINT NICHOLAS AVENUE,40.846187471379,-73.9359995443
19879,10026,1,239,WEST  116 STREET,40.803899675204,-73.954126199879
9526,10002,1,129,RIVINGTON STREET,40.719613829552,-73.986875826118
15845,10018,1,547,9 AVENUE,40.757357634315,-73.993416132521
16699,11354,4,13353,37TH AVE,40.760903124243,-73.832871186863
21010,10456,2,1351,WEBSTER AVENUE,40.835255356069,-73.907959626701
12398,11368,4,54-01,99 STREET,40.739443188018,-73.860621289179
18102,11103,4,2439,STEINWAY STREET,40.76848367892,-73.911229224144
